Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp_Difference,Power,Wear_Ratio
2,299.3,308.5,1422,43.1,186,0,9.199999999999989,61288.2,0.1308016877637131
1,299.3,308.6,1403,50.6,189,0,9.300000000000011,70991.8,0.1347113328581611
1,299.3,308.6,1474,49.6,191,0,9.300000000000011,73110.40000000001,0.1295793758480325
1,299.2,308.6,1381,50.0,193,0,9.400000000000034,69050.0,0.1397538015930485
1,299.2,308.5,1457,44.7,195,0,9.300000000000011,65127.9,0.1338366506520247
1,299.2,308.4,1711,28.9,197,0,9.199999999999989,49447.9,0.1151373465809468
1,299.2,308.4,1667,29.0,199,0,9.199999999999989,48343.0,0.1193761247750449
1,299.2,308.4,1465,35.0,201,0,9.199999999999989,51275.0,0.1372013651877133
2,299.3,308.4,1542,37.5,203,1,9.099999999999966,57825.0,0.1316472114137483
2,299.3,308.4,1438,42.3,0,0,9.099999999999966,60827.4,0.0
1,299.3,308.4,1406,47.4,3,0,9.099999999999966,66644.4,0.0021337126600284
2,299.2,308.4,1396,48.5,5,0,9.199999999999989,67706.0,0.0035816618911174
2,299.3,308.5,1304,60.6,8,0,9.199999999999989,79022.40000000001,0.0061349693251533
1,299.2,308.5,1442,46.5,11,0,9.300000000000011,67053.0,0.007628294036061
2,299.2,308.4,1396,48.7,13,0,9.199999999999989,67985.2,0.0093123209169054
0,299.1,308.3,1424,43.4,16,0,9.199999999999989,61801.6,0.0112359550561797
0,299.1,308.3,1451,42.8,21,0,9.199999999999989,62102.8,0.0144727773949
1,299.2,308.4,1386,54.1,26,0,9.199999999999989,74982.6,0.0187590187590187
1,299.1,308.3,1325,46.9,28,0,9.199999999999989,62142.5,0.0211320754716981
1,299.1,308.3,1559,33.7,30,0,9.199999999999989,52538.3,0.0192431045542014
1,299.1,308.3,1489,38.1,32,0,9.199999999999989,56730.9,0.0214909335124244
1,299.1,308.3,1892,25.2,34,0,9.199999999999989,47678.4,0.0179704016913319
1,299.1,308.2,1319,60.3,36,0,9.099999999999966,79535.7,0.0272934040940106
1,299.1,308.3,1431,52.3,38,0,9.199999999999989,74841.3,0.0265548567435359
0,299.1,308.3,1521,36.5,40,0,9.199999999999989,55516.5,0.0262984878369493
2,299.1,308.2,1435,45.2,45,0,9.099999999999966,64862.00000000001,0.0313588850174216
1,299.1,308.3,1533,42.4,48,0,9.199999999999989,64999.2,0.0313111545988258
2,299.2,308.4,1529,43.0,50,0,9.199999999999989,65747.0,0.0327011118378024
2,299.2,308.4,1415,43.5,53,0,9.199999999999989,61552.5,0.0374558303886925
2,299.2,308.4,1330,51.2,56,0,9.199999999999989,68096.0,0.0421052631578947
1,299.2,308.5,1381,60.6,59,0,9.300000000000011,83688.6,0.0427226647356987
1,299.2,308.5,1370,52.4,61,0,9.300000000000011,71788.0,0.0445255474452554
1,299.2,308.5,1438,46.6,63,0,9.300000000000011,67010.8,0.0438108484005563
1,299.3,308.6,1314,48.2,65,0,9.300000000000011,63334.8,0.0494672754946727
1,299.3,308.6,1437,48.1,67,0,9.300000000000011,69119.7,0.0466249130132219
1,299.2,308.5,1821,26.1,69,0,9.300000000000011,47528.100000000006,0.0378912685337726
2,299.3,308.6,1448,52.1,71,0,9.300000000000011,75440.8,0.0490331491712707
1,299.3,308.5,1589,32.7,74,0,9.199999999999989,51960.3,0.0465701699181875
1,299.3,308.6,1520,33.7,76,0,9.300000000000011,51224.00000000001,0.05
1,299.3,308.6,1605,37.0,78,0,9.300000000000011,59385.0,0.0485981308411214
1,299.3,308.7,1393,54.2,80,0,9.399999999999975,75500.6,0.0574300071787508
0,299.3,308.7,1408,44.4,82,0,9.399999999999975,62515.2,0.0582386363636363
2,299.3,308.7,1459,35.6,87,0,9.399999999999975,51940.4,0.0596298834818368
1,299.4,308.7,1525,39.0,90,0,9.300000000000011,59475.0,0.0590163934426229
1,299.4,308.8,1390,57.0,92,0,9.400000000000034,79230.0,0.0661870503597122
1,299.3,308.7,1536,38.9,94,0,9.399999999999975,59750.4,0.0611979166666666
1,299.4,308.7,1459,47.6,96,0,9.300000000000011,69448.40000000001,0.0657984921178889
1,299.2,308.5,1387,51.1,98,0,9.300000000000011,70875.7,0.0706560922855082
1,299.2,308.5,1378,53.4,100,0,9.300000000000011,73585.2,0.0725689404934687
1,299.4,308.7,1381,56.7,102,0,9.300000000000011,78302.7,0.0738595220854453
2,299.4,308.7,1289,60.5,104,0,9.300000000000011,77984.5,0.0806826997672614
1,299.4,308.6,1746,26.8,107,0,9.200000000000044,46792.8,0.061282932416953
2,299.4,308.6,1541,39.1,109,0,9.200000000000044,60253.100000000006,0.0707332900713822
1,299.4,308.7,1504,37.8,112,0,9.300000000000011,56851.2,0.0744680851063829
2,299.5,308.7,1321,51.9,114,0,9.199999999999989,68559.9,0.0862982588947766
2,299.5,308.8,1886,20.9,117,0,9.300000000000011,39417.4,0.0620360551431601
1,299.6,308.9,1422,53.2,120,0,9.299999999999956,75650.40000000001,0.0843881856540084
1,299.5,308.9,1520,38.3,122,0,9.399999999999975,58215.99999999999,0.0802631578947368
1,299.4,308.8,1627,32.6,124,0,9.400000000000034,53040.2,0.0762138905961893
1,299.4,308.7,1512,37.2,126,0,9.300000000000011,56246.4,0.0833333333333333
1,299.4,308.7,1553,42.7,128,0,9.300000000000011,66313.1,0.0824211204121056
1,299.3,308.7,1802,26.0,130,0,9.399999999999975,46852.0,0.0721420643729189
1,299.3,308.6,1482,37.6,132,0,9.300000000000011,55723.2,0.0890688259109311
1,299.4,308.7,1446,62.9,134,1,9.300000000000011,90953.4,0.0926694329183955
1,299.3,308.6,1371,50.5,136,0,9.300000000000011,69235.5,0.099197665937272
2,299.2,308.6,1586,35.7,138,0,9.400000000000034,56620.2,0.0870113493064312
1,299.2,308.5,1515,39.8,141,0,9.300000000000011,60296.99999999999,0.093069306930693
1,299.2,308.5,1374,53.6,143,0,9.300000000000011,73646.40000000001,0.1040756914119359
1,299.1,308.5,1455,39.8,145,0,9.399999999999975,57908.99999999999,0.0996563573883161
0,299.2,308.5,1342,47.5,147,0,9.300000000000011,63745.0,0.1095380029806259
1,299.1,308.6,1260,57.8,152,0,9.5,72828.0,0.1206349206349206
0,299.0,308.5,1623,33.5,154,0,9.5,54370.5,0.0948860135551448
1,299.1,308.5,1371,55.5,159,0,9.399999999999975,76090.5,0.1159737417943107
1,299.1,308.6,1611,31.4,161,0,9.5,50585.4,0.0999379267535692
2,299.0,308.4,1535,47.5,163,0,9.399999999999975,72912.5,0.1061889250814332
2,299.1,308.6,1491,38.5,166,0,9.5,57403.5,0.1113346747149564
2,299.1,308.6,1441,36.2,169,0,9.5,52164.2,0.1172796668979875
2,299.1,308.8,1725,26.6,172,0,9.699999999999989,45885.0,0.0997101449275362
1,299.2,308.9,1368,47.2,175,0,9.699999999999989,64569.600000000006,0.1279239766081871
1,299.2,308.9,1526,37.9,177,0,9.699999999999989,57835.4,0.1159895150720838
1,299.2,308.8,1542,39.2,179,0,9.600000000000025,60446.4,0.116083009079118
1,299.2,308.8,1605,31.1,181,0,9.600000000000025,49915.5,0.1127725856697819
1,299.2,308.8,1405,51.4,183,0,9.600000000000025,72217.0,0.1302491103202847
2,299.2,308.8,1700,33.5,185,0,9.600000000000025,56950.0,0.1088235294117647
0,299.2,308.8,1440,39.1,188,0,9.600000000000025,56304.0,0.1305555555555555
2,299.2,308.8,1314,52.5,193,0,9.600000000000025,68985.0,0.1468797564687975
1,299.2,308.7,1514,41.9,196,0,9.5,63436.6,0.1294583883751651
2,299.2,308.7,1401,47.0,198,0,9.5,65847.0,0.1413276231263383
1,299.3,308.8,1636,29.9,201,0,9.5,48916.4,0.1228606356968215
1,299.3,308.8,1603,33.9,203,0,9.5,54341.7,0.1266375545851528
2,299.4,308.7,1487,52.6,205,0,9.300000000000011,78216.2,0.1378614660390047
2,299.3,308.7,1420,50.3,208,0,9.399999999999975,71426.0,0.1464788732394366
1,299.3,308.7,1579,36.3,211,0,9.399999999999975,57317.7,0.1336288790373654
1,299.3,308.7,1484,40.5,213,0,9.399999999999975,60102.0,0.1435309973045822
2,299.3,308.7,1390,49.3,215,0,9.399999999999975,68527.0,0.1546762589928057
1,299.3,308.6,1384,53.6,218,1,9.300000000000011,74182.40000000001,0.157514450867052
1,299.2,308.5,1378,50.4,220,1,9.300000000000011,69451.2,0.1596516690856313
1,299.2,308.5,1445,45.2,222,0,9.300000000000011,65314.00000000001,0.1536332179930795
1,299.2,308.4,1445,43.5,224,0,9.199999999999989,62857.5,0.1550173010380622
1,299.2,308.4,1509,39.4,0,0,9.199999999999989,59454.6,0.0
1,299.2,308.4,1434,46.8,2,0,9.199999999999989,67111.2,0.00139470013947
1,299.2,308.4,1877,23.9,4,0,9.199999999999989,44860.3,0.0021310602024507
1,299.3,308.3,1651,28.0,6,0,9.0,46228.0,0.003634161114476
1,299.2,308.2,1466,41.3,8,0,9.0,60545.8,0.0054570259208731
1,299.1,308.1,1479,40.7,10,0,9.0,60195.3,0.006761325219743
1,299.1,308.2,1409,46.4,12,0,9.099999999999966,65377.6,0.0085166784953867
2,299.2,308.2,1674,28.2,14,0,9.0,47206.8,0.008363201911589
1,299.1,308.3,1305,61.4,17,0,9.199999999999989,80127.0,0.0130268199233716
2,299.2,308.3,1755,26.4,19,0,9.100000000000025,46332.0,0.0108262108262108
1,299.2,308.4,1475,38.7,22,0,9.199999999999989,57082.50000000001,0.0149152542372881
1,299.2,308.4,1402,47.7,24,0,9.199999999999989,66875.40000000001,0.0171184022824536
1,299.2,308.3,1410,43.0,26,0,9.100000000000025,60630.0,0.0184397163120567
1,299.2,308.4,1436,41.8,28,0,9.199999999999989,60024.8,0.0194986072423398
2,299.3,308.5,1386,42.2,30,0,9.199999999999989,58489.2,0.0216450216450216
1,299.3,308.6,1744,26.4,33,0,9.300000000000011,46041.6,0.0189220183486238
1,299.2,308.4,1393,48.4,35,0,9.199999999999989,67421.2,0.0251256281407035
2,299.3,308.5,1422,45.4,37,0,9.199999999999989,64558.8,0.0260196905766526
1,299.2,308.4,1841,22.8,40,0,9.199999999999989,41974.8,0.0217273221075502
1,299.3,308.6,1433,37.7,42,0,9.300000000000011,54024.100000000006,0.0293091416608513
2,299.3,308.5,1305,60.6,44,0,9.199999999999989,79083.0,0.0337164750957854
0,299.3,308.6,1498,39.5,47,0,9.300000000000011,59171.0,0.0313751668891855
1,299.3,308.5,1772,26.1,52,0,9.199999999999989,46249.2,0.0293453724604966
2,299.2,308.4,1381,42.5,54,0,9.199999999999989,58692.5,0.0391020999275887
1,299.3,308.5,1413,38.5,57,0,9.199999999999989,54400.5,0.0403397027600849
0,299.2,308.4,1388,53.2,59,0,9.199999999999989,73841.6,0.042507204610951
2,299.2,308.6,1631,35.4,64,0,9.400000000000034,57737.4,0.0392397302268546
0,299.3,308.6,1520,41.4,67,0,9.300000000000011,62928.0,0.044078947368421
1,299.3,308.5,1510,45.4,72,0,9.199999999999989,68554.0,0.047682119205298
1,299.2,308.5,1366,49.7,74,0,9.300000000000011,67890.2,0.0541727672035139
1,299.4,308.5,1845,22.9,76,0,9.100000000000025,42250.5,0.0411924119241192
1,299.3,308.5,1485,44.7,78,0,9.199999999999989,66379.5,0.0525252525252525
2,299.3,308.5,1496,39.4,80,0,9.199999999999989,58942.4,0.053475935828877
2,299.3,308.4,1468,42.2,83,0,9.099999999999966,61949.600000000006,0.0565395095367847
2,299.2,308.4,1856,22.7,86,0,9.199999999999989,42131.2,0.0463362068965517
1,299.2,308.4,1620,34.1,89,0,9.199999999999989,55242.0,0.0549382716049382
1,299.3,308.5,1409,44.8,91,0,9.199999999999989,63123.2,0.0645848119233498
2,299.3,308.5,1404,49.4,93,0,9.199999999999989,69357.59999999999,0.0662393162393162
1,299.2,308.4,1350,51.3,96,0,9.199999999999989,69255.0,0.0711111111111111
2,299.2,308.4,1538,38.0,98,0,9.199999999999989,58444.0,0.0637191157347204
2,299.2,308.4,1476,32.7,101,0,9.199999999999989,48265.2,0.0684281842818428
2,299.2,308.3,1364,51.8,104,0,9.100000000000025,70655.2,0.0762463343108504
2,299.2,308.3,1582,45.5,107,0,9.100000000000025,71981.0,0.0676359039190897
1,299.1,308.2,1348,56.1,110,0,9.099999999999966,75622.8,0.0816023738872403
0,299.1,308.2,1450,46.1,112,0,9.099999999999966,66845.0,0.0772413793103448
1,299.0,308.1,1242,60.9,117,0,9.100000000000025,75637.8,0.0942028985507246
1,299.1,308.2,1493,34.9,119,0,9.099999999999966,52105.7,0.0797052913596784
1,299.1,308.3,1601,31.4,121,0,9.199999999999989,50271.4,0.075577763897564
1,299.1,308.2,1568,33.3,123,0,9.099999999999966,52214.4,0.0784438775510204
2,299.1,308.3,1506,38.0,125,0,9.199999999999989,57228.0,0.0830013280212483
1,299.1,308.3,1524,34.1,128,0,9.199999999999989,51968.4,0.0839895013123359
1,299.1,308.4,1543,37.9,130,0,9.299999999999956,58479.7,0.0842514581983149
2,299.2,308.5,1474,47.2,132,0,9.300000000000011,69572.8,0.0895522388059701
2,299.2,308.5,1526,37.3,135,0,9.300000000000011,56919.8,0.0884665792922673
1,299.2,308.5,1867,27.0,138,0,9.300000000000011,50409.0,0.0739153722549544
1,299.2,308.5,1487,41.2,140,0,9.300000000000011,61264.4,0.0941492938802959
1,299.2,308.4,1580,32.6,142,0,9.199999999999989,51508.0,0.0898734177215189
1,299.2,308.5,1340,50.0,144,0,9.300000000000011,67000.0,0.1074626865671641
1,299.2,308.5,1544,41.6,146,0,9.300000000000011,64230.4,0.0945595854922279
1,299.2,308.5,1488,40.3,148,0,9.300000000000011,59966.4,0.0994623655913978
2,299.2,308.5,1742,28.9,150,0,9.300000000000011,50343.8,0.0861079219288174
2,299.1,308.5,1592,34.2,153,0,9.399999999999975,54446.4,0.0961055276381909
1,299.2,308.6,1582,38.8,156,0,9.400000000000034,61381.6,0.0986093552465234
1,299.2,308.5,1490,43.2,158,0,9.300000000000011,64368.00000000001,0.1060402684563758
2,299.2,308.5,1594,35.8,160,0,9.300000000000011,57065.2,0.1003764115432873
0,299.2,308.6,1462,55.0,163,0,9.400000000000034,80410.0,0.1114911080711354
2,299.2,308.6,1367,47.6,168,0,9.400000000000034,65069.2,0.1228968544257498
1,299.2,308.7,1325,51.0,171,0,9.5,67575.0,0.1290566037735849
0,299.2,308.7,1448,51.4,173,0,9.5,74427.2,0.1194751381215469
2,299.1,308.7,2008,20.3,178,0,9.599999999999966,40762.4,0.0886454183266932
1,299.1,308.7,1498,38.9,181,0,9.599999999999966,58272.2,0.1208277703604806
1,299.1,308.6,1437,41.6,183,0,9.5,59779.2,0.127348643006263
2,299.1,308.6,1499,45.1,185,0,9.5,67604.90000000001,0.1234156104069379
1,299.0,308.4,1356,52.6,188,0,9.399999999999975,71325.6,0.1386430678466076
1,299.1,308.5,1539,46.8,190,0,9.399999999999975,72025.2,0.1234567901234567
1,299.1,308.5,1689,32.1,192,0,9.399999999999975,54216.9,0.1136767317939609
1,299.0,308.5,1559,38.1,194,0,9.5,59397.9,0.1244387427838357
1,299.1,308.6,1408,46.7,196,0,9.5,65753.6,0.1392045454545454
1,299.0,308.5,1886,23.0,198,0,9.5,43378.0,0.104984093319194
1,299.1,308.5,1415,43.4,0,0,9.399999999999975,61411.0,0.0
2,299.1,308.5,1587,35.6,2,0,9.399999999999975,56497.2,0.0012602394454946
1,299.0,308.4,1571,38.6,5,0,9.399999999999975,60640.600000000006,0.0031826861871419
1,298.9,308.3,1576,36.6,7,0,9.400000000000034,57681.600000000006,0.0044416243654822
1,298.9,308.3,1660,34.4,9,0,9.400000000000034,57104.0,0.0054216867469879
2,298.9,308.2,1328,49.2,11,0,9.300000000000011,65337.600000000006,0.0082831325301204
0,298.8,308.2,1450,44.7,14,0,9.399999999999975,64815.00000000001,0.0096551724137931
1,298.9,308.2,2384,15.0,19,0,9.300000000000011,35760.0,0.0079697986577181
1,298.8,308.2,1443,53.4,21,0,9.399999999999975,77056.2,0.0145530145530145
2,298.9,308.2,2022,20.0,23,0,9.300000000000011,40440.0,0.0113748763600395
1,298.9,308.2,1828,23.8,26,0,9.300000000000011,43506.4,0.0142231947483588
1,298.8,308.1,1472,53.5,28,0,9.300000000000011,78752.0,0.0190217391304347
2,298.9,308.2,1372,63.6,30,1,9.300000000000011,87259.2,0.0218658892128279
1,298.9,308.3,1855,23.8,33,0,9.400000000000034,44149.0,0.0177897574123989
2,299.0,308.3,1377,47.2,35,0,9.300000000000011,64994.4,0.0254175744371822
1,298.9,308.3,1432,48.9,38,0,9.400000000000034,70024.8,0.026536312849162
2,298.9,308.2,1335,47.8,40,0,9.300000000000011,63812.99999999999,0.0299625468164794
2,298.9,308.2,1411,51.3,43,0,9.300000000000011,72384.3,0.030474840538625
1,298.9,308.2,1510,43.5,46,0,9.300000000000011,65685.0,0.0304635761589403
1,299.0,308.3,1441,44.0,48,0,9.300000000000011,63404.0,0.0333102012491325
2,299.0,308.2,1358,42.7,50,0,9.199999999999989,57986.600000000006,0.0368188512518409
1,298.9,308.2,1686,30.4,53,0,9.300000000000011,51254.4,0.031435349940688
0,299.0,308.2,1662,30.4,55,0,9.199999999999989,50524.8,0.03309265944645
1,299.1,308.3,1426,40.1,60,0,9.199999999999989,57182.6,0.0420757363253856
2,299.1,308.4,1330,53.6,62,0,9.299999999999956,71288.0,0.0466165413533834
1,299.1,308.4,1693,31.6,65,0,9.299999999999956,53498.8,0.0383933845245127
1,299.1,308.4,1426,47.9,67,0,9.299999999999956,68305.4,0.046984572230014
1,299.1,308.5,1676,31.0,69,0,9.399999999999975,51956.0,0.0411694510739856
2,299.1,308.4,1332,51.7,71,0,9.299999999999956,68864.40000000001,0.0533033033033033
1,299.1,308.5,1647,35.0,74,0,9.399999999999975,57645.0,0.044930176077717
1,299.2,308.6,1267,68.2,76,1,9.400000000000034,86409.40000000001,0.0599842146803472
0,299.2,308.7,1375,55.1,78,0,9.5,75762.5,0.0567272727272727
1,299.3,308.6,1422,48.9,83,0,9.300000000000011,69535.8,0.0583684950773558
1,299.3,308.7,1408,48.7,85,0,9.399999999999975,68569.6,0.0603693181818181
1,299.4,308.9,1440,42.5,87,0,9.5,61200.0,0.0604166666666666
1,299.3,308.8,1772,25.2,89,0,9.5,44654.4,0.0502257336343115
1,299.2,308.7,1492,37.8,91,0,9.5,56397.6,0.0609919571045576
1,299.2,308.7,1650,30.5,93,0,9.5,50325.0,0.0563636363636363
2,299.1,308.6,2329,14.6,95,0,9.5,34003.4,0.0407900386431945
1,299.0,308.6,1648,30.8,98,0,9.600000000000025,50758.4,0.0594660194174757
1,299.0,308.6,1653,31.7,100,0,9.600000000000025,52400.1,0.0604960677555958
1,299.0,308.6,1946,22.3,102,0,9.600000000000025,43395.8,0.0524152106885919
1,299.1,308.6,1555,36.6,104,0,9.5,56913.0,0.0668810289389067
1,299.0,308.6,1661,32.2,106,0,9.600000000000025,53484.2,0.0638169777242625
1,299.0,308.6,1434,45.9,108,0,9.600000000000025,65820.59999999999,0.0753138075313807
1,299.0,308.6,1297,54.2,110,0,9.600000000000025,70297.40000000001,0.084811102544333
1,299.0,308.6,1466,46.4,112,0,9.600000000000025,68022.4,0.0763983628922237
2,298.9,308.6,1517,39.8,114,0,9.700000000000044,60376.6,0.075148319050758
1,298.9,308.5,1742,34.5,117,0,9.600000000000025,60099.0,0.0671641791044776
1,298.9,308.5,1580,39.1,119,0,9.600000000000025,61778.0,0.0753164556962025
2,298.9,308.5,1534,42.9,121,0,9.600000000000025,65808.59999999999,0.0788787483702738
1,298.9,308.6,1481,40.7,124,0,9.700000000000044,60276.7,0.0837272113436867
1,299.0,308.6,1429,37.7,126,0,9.600000000000025,53873.3,0.0881735479356193
2,298.9,308.6,1574,33.5,128,0,9.700000000000044,52729.0,0.0813214739517153
2,298.9,308.6,1524,40.4,131,0,9.700000000000044,61569.6,0.0859580052493438
1,299.0,308.7,1507,37.5,134,0,9.699999999999989,56512.5,0.0889183808891838
1,298.9,308.5,1467,44.7,136,0,9.600000000000025,65574.90000000001,0.0927062031356509
1,298.9,308.4,1301,51.1,138,0,9.5,66481.1,0.1060722521137586
1,298.9,308.5,1429,55.1,140,0,9.600000000000025,78737.90000000001,0.0979706088173548
2,298.9,308.5,1555,37.6,142,0,9.600000000000025,58468.0,0.0913183279742765
1,298.9,308.5,1503,40.6,145,0,9.600000000000025,61021.8,0.0964737192282102
1,298.9,308.5,1459,43.1,147,0,9.600000000000025,62882.9,0.1007539410555174
0,298.9,308.4,1449,42.4,149,0,9.5,61437.6,0.1028295376121463
1,298.9,308.5,1387,57.3,154,0,9.600000000000025,79475.09999999999,0.1110310021629416
2,298.9,308.5,1456,50.0,156,0,9.600000000000025,72800.0,0.1071428571428571
1,299.0,308.5,1604,34.7,159,0,9.5,55658.8,0.0991271820448877
1,299.0,308.6,1734,32.4,161,0,9.600000000000025,56181.6,0.0928489042675893
1,299.0,308.6,1378,47.8,163,0,9.600000000000025,65868.4,0.1182873730043541
1,298.9,308.7,1504,41.8,165,0,9.800000000000011,62867.2,0.1097074468085106
2,298.9,308.7,1402,49.8,167,0,9.800000000000011,69819.59999999999,0.1191155492154065
0,298.8,308.6,1524,37.7,170,0,9.800000000000011,57454.8,0.1115485564304462
1,298.8,308.6,1593,35.5,175,0,9.800000000000011,56551.5,0.1098556183301946
2,298.9,308.7,1772,28.4,177,0,9.800000000000011,50324.8,0.0998871331828442
0,298.9,308.6,1623,31.0,180,0,9.700000000000044,50313.0,0.11090573012939
1,298.9,308.7,1356,50.7,185,0,9.800000000000011,68749.2,0.1364306784660767
0,298.9,308.7,1500,41.6,187,0,9.800000000000011,62400.0,0.1246666666666666
0,299.1,308.8,1566,46.6,192,0,9.699999999999989,72975.6,0.1226053639846743
1,299.1,308.9,1445,43.4,197,0,9.799999999999956,62713.0,0.1363321799307958
0,299.0,308.8,1382,58.5,199,0,9.800000000000011,80847.0,0.1439942112879884
2,299.0,308.8,1418,45.7,204,0,9.800000000000011,64802.600000000006,0.1438645980253878
1,299.1,308.8,1329,53.6,207,1,9.699999999999989,71234.40000000001,0.1557562076749435
2,299.1,308.8,1491,41.0,209,0,9.699999999999989,61131.0,0.1401743796109993
2,299.2,308.9,1573,37.4,212,0,9.699999999999989,58830.2,0.1347743165924984
2,299.2,308.9,1521,42.3,215,0,9.699999999999989,64338.3,0.1413543721236028
1,299.1,308.9,1467,47.2,218,0,9.799999999999956,69242.40000000001,0.1486025903203817
2,299.1,308.9,1325,48.4,220,0,9.799999999999956,64130.0,0.1660377358490566
1,299.1,308.9,1617,32.3,223,0,9.799999999999956,52229.1,0.1379097093382807
2,299.1,308.9,1476,42.7,225,0,9.799999999999956,63025.2,0.1524390243902439
1,299.2,309.0,1515,48.9,228,1,9.800000000000011,74083.5,0.1504950495049505
1,299.2,309.0,1408,47.2,0,0,9.800000000000011,66457.6,0.0
1,299.2,309.1,1468,45.6,2,0,9.900000000000034,66940.8,0.0013623978201634
1,299.2,309.1,1387,48.7,4,0,9.900000000000034,67546.90000000001,0.0028839221341023
2,299.2,309.1,1503,34.7,6,0,9.900000000000034,52154.100000000006,0.0039920159680638
0,299.2,309.1,1410,47.1,9,0,9.900000000000034,66411.0,0.0063829787234042
1,299.0,308.9,1615,30.6,14,0,9.899999999999975,49419.0,0.0086687306501548
1,299.0,308.9,1511,35.9,16,0,9.899999999999975,54244.9,0.0105890138980807
1,299.1,309.0,1405,53.8,18,0,9.899999999999975,75589.0,0.0128113879003558
2,299.0,308.9,1526,41.1,20,0,9.899999999999975,62718.6,0.0131061598951507
1,298.9,308.8,1530,38.3,23,0,9.900000000000034,58598.99999999999,0.015032679738562
1,299.0,308.7,1583,32.5,25,0,9.699999999999989,51447.5,0.0157927984838913
1,298.9,308.6,2069,18.7,27,0,9.700000000000044,38690.3,0.0130497825036249
1,298.8,308.5,1490,35.0,29,0,9.699999999999989,52150.0,0.0194630872483221
1,298.8,308.5,1736,29.0,31,0,9.699999999999989,50344.0,0.0178571428571428
1,298.8,308.5,1395,44.4,33,0,9.699999999999989,61938.0,0.0236559139784946
2,298.9,308.6,1425,49.6,35,0,9.700000000000044,70680.0,0.0245614035087719
1,298.8,308.6,1631,32.4,38,0,9.800000000000011,52844.4,0.0232985898221949
1,298.8,308.6,1535,41.2,40,0,9.800000000000011,63242.00000000001,0.0260586319218241
1,298.8,308.6,1584,34.4,42,0,9.800000000000011,54489.6,0.0265151515151515
2,298.8,308.7,1543,38.2,44,0,9.899999999999975,58942.600000000006,0.0285158781594296
1,298.8,308.7,1635,35.2,47,0,9.899999999999975,57552.00000000001,0.0287461773700305
2,298.8,308.7,1446,45.5,49,0,9.899999999999975,65793.0,0.0338865836791148
2,298.8,308.6,1598,35.1,52,0,9.800000000000011,56089.8,0.032540675844806
1,298.8,308.6,1501,35.0,55,0,9.800000000000011,52535.0,0.0366422385076615
1,298.8,308.5,1450,50.8,57,0,9.699999999999989,73660.0,0.0393103448275862
1,298.8,308.6,1730,25.9,59,0,9.800000000000011,44807.0,0.0341040462427745
2,298.8,308.6,1571,33.7,61,0,9.800000000000011,52942.7,0.0388287714831317
1,298.9,308.7,1438,51.7,64,0,9.800000000000011,74344.6,0.0445062586926286
2,298.8,308.5,1510,38.7,66,0,9.699999999999989,58437.00000000001,0.0437086092715231
1,298.9,308.7,1389,44.9,69,0,9.800000000000011,62366.1,0.0496760259179265
1,298.8,308.7,1490,33.6,71,0,9.899999999999975,50064.0,0.0476510067114094
1,298.9,308.7,1729,26.6,73,0,9.800000000000011,45991.4,0.042220936957779
1,299.0,308.8,1495,38.4,75,0,9.800000000000011,57408.0,0.0501672240802675
1,298.9,308.8,1281,53.9,77,0,9.900000000000034,69045.9,0.0601092896174863
0,298.9,308.7,1353,48.1,79,0,9.800000000000011,65079.3,0.0583887657058388
1,299.1,308.8,1429,50.1,84,0,9.699999999999989,71592.90000000001,0.0587823652904128
1,299.1,308.8,1413,42.1,86,0,9.699999999999989,59487.3,0.0608634111818825
1,299.1,308.8,1502,38.3,88,0,9.699999999999989,57526.6,0.0585885486018641
0,299.1,308.8,1553,32.6,90,0,9.699999999999989,50627.8,0.0579523502897617
0,299.2,308.9,1712,26.4,95,0,9.699999999999989,45196.8,0.0554906542056074
1,299.3,309.0,1786,23.5,100,0,9.699999999999989,41971.0,0.0559910414333706
1,299.2,309.0,1951,21.4,102,0,9.800000000000011,41751.4,0.0522808815991799
2,299.2,309.0,1541,36.3,104,0,9.800000000000011,55938.3,0.0674886437378325
1,299.2,309.1,1605,34.3,107,0,9.900000000000034,55051.49999999999,0.0666666666666666
1,299.2,309.1,1578,38.1,109,0,9.900000000000034,60121.8,0.0690747782002534
2,299.3,309.2,1440,37.5,111,0,9.899999999999975,54000.0,0.0770833333333333
1,299.4,309.2,1489,42.3,114,0,9.800000000000011,62984.7,0.076561450638012
1,299.4,309.3,1366,48.4,116,0,9.900000000000034,66114.4,0.0849194729136164
1,299.3,309.2,1541,37.2,118,0,9.899999999999975,57325.2,0.0765736534717715
0,299.3,309.1,1552,40.7,120,0,9.800000000000011,63166.4,0.0773195876288659
1,299.3,309.1,1473,40.3,125,0,9.800000000000011,59361.9,0.0848608282416836
1,299.3,309.1,1531,37.9,127,0,9.800000000000011,58024.9,0.0829523187459177
1,299.3,309.2,1511,37.2,129,0,9.899999999999975,56209.2,0.0853739245532759
2,299.3,309.1,1449,47.9,131,0,9.800000000000011,69407.09999999999,0.0904071773636991
2,299.4,309.1,1440,50.0,134,0,9.700000000000044,72000.0,0.0930555555555555
2,299.2,309.0,1881,23.9,137,0,9.800000000000011,44955.9,0.0728335991493886
1,299.3,309.0,1447,50.4,140,0,9.699999999999989,72928.8,0.0967519004837595
